ASIN,Product_Name,Brand,Category,Est_Monthly_Revenue,Est_Monthly_Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date_First_Available,Buy_Box_Owner,Rating,Dimensions,Product_Tier,Weight
"B08S3KL95V" ,"RVMasking Heavy Duty 300D Top Windproof Travel Trailer Cover for RV Camper Motorhome with 4 Tire Covers  Tongue Jack Cover  24.1-26 ft" ,"RVMasking" ,"Automotive" ,"$153,175.86" ,"414" ,"$324.99" ,"$57.98" ,"$267.01" ,"11,358" ,"119" ,"8" ,"1" ,"11/15/2020" ,"RVMasking" ,"4.4" ,"10.00" x 18.00" x 22.00"" ,"Oversize (Small)" ,"15.0003 lbs"
"B08929N5GZ" ,"XCAR Roof Rack Carrier Basket Rooftop Cargo Carrier with Extension Black Car Top Luggage Holder 64"x 39"x 6" Universal for SUV Cars" ,"XCAR" ,"Automotive" ,"$151,990.50" ,"950" ,"$159.99" ,"$43.67" ,"$116.32" ,"3,159" ,"156" ,"6" ,"2" ,"07/17/2019" ,"X'Car" ,"4.3" ,"40.95" x 20.90" x 10.70"" ,"Oversize (Small)" ,"45 lbs"
"B01J4KB1P4" ,"VViViD XPO Red Carbon Fiber Car Wrap Vinyl Roll with Air Release Technology (100FT X 5FT)" ,"VViViD" ,"Automotive" ,"$147,596.31" ,"369" ,"$350.49" ,"$74.03" ,"$276.46" ,"10,495" ,"922" ,"5" ,"1" ,"09/21/2016" ,"VViViD Vinyl" ,"4.2" ,"62.01" x 6.50" x 6.50"" ,"Oversize (Medium)" ,"38.6 lbs"
"B00TZ8E5YU" ,"Fluke 116/323 HVAC Multimeter and Clamp Meter Combo Kit" ,"Fluke" ,"Automotive" ,"$145,992.50" ,"575" ,"$253.90" ,"$39.17" ,"$214.73" ,"4,133" ,"874" ,"5" ,"19" ,"06/12/2013" ,"SmartDeal Store" ,"4.8" ,"12.09" x 10.71" x 3.74"" ,"Standard (Large)" ,"3.17 lbs"
"B08S79ML5T" ,"Live & Sleep Mattress Classic King Mattress - Memory Foam Mattress - 10 Inch - Cool Bed in a Box - Medium Firm - Advanced Support - Luxury Form Pillow - CertiPUR Certified - King Size" ,"Live and Sleep" ,"Automotive" ,"$141,454.95" ,"301" ,"$294.95" ,"$98.26" ,"$196.69" ,"10,880" ,"3889.75" ,"7" ,"2" ,"11/02/2014" ,"Live and Sleep" ,"4.5" ,"17.00" x 17.00" x 41.60"" ,"Oversize (Medium)" ,"79.2 lbs"
"B08BCN5LMW" ,"Portable Jump Starter with Air Compressor  UTRAI Jstar 5 150 PSI 2000A 24000mAh(8L Gas 7.5L Diesel Engine) 12V Battery Jump Pack with Emergency Light LCD Screen USB QC3.0 for Cars  Trucks  SUV" ,"UTRAI" ,"Automotive" ,"$141,104.12" ,"1,094" ,"$128.98" ,"$24.51" ,"$104.47" ,"2,248" ,"453" ,"7" ,"1" ,"07/19/2020" ,"UTRAI-US" ,"4.6" ,"5.55" x 8.86" x 11.26"" ,"Standard (Large)" ,"4.0345 lbs"
"B08HMP2FN6" ,"OASIS AUTO Leather Car Seat Covers  Faux Leatherette Automotive Vehicle Cushion Cover for Cars SUV Pick-up Truck Universal Fit Set for Auto Interior Accessories (OS-012 Full Set  Grey)" ,"OASIS AUTO" ,"Automotive" ,"$139,191.30" ,"870" ,"$159.99" ,"$32.17" ,"$127.82" ,"2,926" ,"260.85714285714283" ,"7" ,"1" ,"09/08/2020" ,"Oasis Auto Group" ,"4.371428571428572" ,"25.00" x 21.00" x 4.00"" ,"Oversize (Small)" ,"13.3997 lbs"
"B07W8TLZ5H" ,"509 Delta R4 Ignite Helmet (Galaxy Teal Purple - X-Small)" ,"509" ,"Automotive" ,"$136,480.50" ,"390" ,"$349.95" ,"$52.91" ,"$297.04" ,"8,962" ,"52.25" ,"3" ,"4" ,"08/02/2020" ,"MxGear" ,"4.449999999999999" ,"18.00" x 16.00" x 12.00"" ,"Oversize (Small)" ,"8 lbs"
"B088HTK1ZM" ,"Andersen Hitches Trailer Jack Block 6-Pack with Free Clean Step (3608-6-CS)" ,"Andersen Manufacturing" ,"Automotive" ,"$134,455.02" ,"498" ,"$269.99" ,"$54.70" ,"$215.29" ,"5,930" ,"768" ,"6" ,"1" ,"02/06/2018" ,"Andersen Hitches" ,"4.8" ,"24.50" x 23.00" x 13.00"" ,"Oversize (Small)" ,"37.95 lbs"
"B08LW2429T" ,"Mockins Steel Cargo Basket | 60" L X 20" W X 6" H Hitch Mount Cargo Carrier with Cargo Bag and Net | with a Hauling Weight of 500 lbs & a Folding Shank to Preserve Space When Not in Use" ,"Mockins" ,"Automotive" ,"$133,272.16" ,"784" ,"$169.99" ,"$52.22" ,"$117.77" ,"4,670" ,"1154" ,"7" ,"4" ,"03/19/2018" ,"mockins" ,"4.5" ,"9.50" x 23.00" x 30.50"" ,"Oversize (Small)" ,"63 lbs"
"B08GK3ZVZD" ,"Aierxuan 5pcs Car Seat Covers Full Set with Waterproof Leather Airbag Compatible Automotive Vehicle Cushion Cover Universal fit for Most Cars (Black and White) …" ,"Aierxuan" ,"Automotive" ,"$132,993.35" ,"665" ,"$199.99" ,"$36.25" ,"$163.74" ,"3,961" ,"585" ,"6" ,"1" ,"09/26/2019" ,"tiantai-LX" ,"4.4" ,"5.70" x 25.50" x 25.70"" ,"Oversize (Small)" ,"11.4993 lbs"
